"No.","Time","Source","Destination","Protocol","Length","Info"
"131","0.678046000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39804 [ACK] Seq=1 Ack=232 Win=35226 Len=0"
"132","0.678848000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","132","Server Hello, Change Cipher Spec"
"133","0.678868000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39805 > https [ACK] Seq=232 Ack=93 Win=3496960 Len=0"
"134","0.679726000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","132","Server Hello, Change Cipher Spec"
"135","0.679740000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39808 > https [ACK] Seq=232 Ack=93 Win=3496960 Len=0"
"136","0.679744000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","132","Server Hello, Change Cipher Spec"
"137","0.679747000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39804 > https [ACK] Seq=232 Ack=93 Win=3496960 Len=0"
"138","0.680496000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","109","Encrypted Handshake Message"
"139","0.680504000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39808 > https [ACK] Seq=232 Ack=162 Win=3496960 Len=0"
"140","0.680622000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","115","Change Cipher Spec, Encrypted Handshake Message"
"141","0.680703000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","509","Application Data"
"142","0.681488000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","109","Encrypted Handshake Message"
"143","0.681493000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39804 > https [ACK] Seq=232 Ack=162 Win=3496960 Len=0"
"144","0.681498000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","109","Encrypted Handshake Message"
"145","0.681499000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39805 > https [ACK] Seq=232 Ack=162 Win=3496960 Len=0"
"146","0.681594000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","115","Change Cipher Spec, Encrypted Handshake Message"
"147","0.681721000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","115","Change Cipher Spec, Encrypted Handshake Message"
"148","0.681774000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","525","Application Data"
"149","0.681811000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TLSv1.2","525","Application Data"
"150","0.684354000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","40","https > 39803 [ACK] Seq=22119 Ack=2114 Win=40489 Len=0"
"151","0.688156000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"152","0.688172000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"153","0.688180000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=2114 Ack=24839 Win=8355840 Len=0"
"154","0.688182000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"155","0.688185000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"156","0.688187000","ws197185.vpn.haw-hamburg.de","www.volksbank-stormarn.de","TCP","40","39803 > https [ACK] Seq=2114 Ack=27559 Win=8355840 Len=0"
"157","0.688189000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TCP","1400","[TCP segment of a reassembled PDU]"
"158","0.690282000","www.volksbank-stormarn.de","ws197185.vpn.haw-hamburg.de","TLSv1.2","1389","Application Data"
